# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: xor.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             258   N   0000a24a   0020c1b3   0000a24c   ---        --------
             259   N   0000a24c   00000205   0000a250   x03_gp     0ff00ff0
             260   N   0000a250   00004289   0000a252   x04_tp     00000001
             261   N   0000a252   fe5212e3   0000a254   x05_t0     00000002
             262   N   0000a254   0ff01eb7   0000a238   ---        --------
             265   N   0000a238   0ff08093   0000a23c   x01_ra     00ff0000
             266   N   0000a23c   0f0f1137   0000a240   x01_ra     00ff00ff
             267   N   0000a240   f0f10113   0000a244   x02_sp     0f0f1000
             268   N   0000a244   00000001   0000a248   x02_sp     0f0f0f0f
             269   N   0000a248   00000001   0000a24a   ---        --------
             270   N   0000a24a   0020c1b3   0000a24c   ---        --------
             271   N   0000a24c   00000205   0000a250   x03_gp     0ff00ff0
             272   N   0000a250   00004289   0000a252   x04_tp     00000002
             273   N   0000a252   fe5212e3   0000a254   x05_t0     00000002
             274   N   0000a254   0ff01eb7   0000a258   ---        --------
             275   N   0000a258   00001ec1   0000a25c   x29_t4     0ff01000
             276   N   0000a25c   00004e39   0000a25e   x29_t4     0ff00ff0
             277   N   0000a25e   1fd19963   0000a260   x28_t3     0000000e
             278   N   0000a260   00004201   0000a264   ---        --------
             279   N   0000a264   ff0100b7   0000a266   x04_tp     00000000
             280   N   0000a266   42018093   0000a26a   x01_ra     ff010000
             282   N   0000a26a   00000001   0000a26e   x01_ra     ff00ff00
             283   N   0000a26e   0f0f1137   0000a270   ---        --------
             284   N   0000a270   f0f10113   0000a274   x02_sp     0f0f1000
             285   N   0000a274   0020c1b3   0000a278   x02_sp     0f0f0f0f
             286   N   0000a278   00000205   0000a27c   x03_gp     f00ff00f
             287   N   0000a27c   00004289   0000a27e   x04_tp     00000001
             288   N   0000a27e   fe5213e3   0000a280   x05_t0     00000002
             289   N   0000a280   f00ffeb7   0000a266   ---        --------
             293   N   0000a266   f00f8093   0000a26a   x01_ra     ff010000
             295   N   0000a26a   00000001   0000a26e   x01_ra     ff00ff00
             296   N   0000a26e   0f0f1137   0000a270   ---        --------
             297   N   0000a270   f0f10113   0000a274   x02_sp     0f0f1000
             298   N   0000a274   0020c1b3   0000a278   x02_sp     0f0f0f0f
             299   N   0000a278   00000205   0000a27c   x03_gp     f00ff00f
             300   N   0000a27c   00004289   0000a27e   x04_tp     00000002
             301   N   0000a27e   fe5213e3   0000a280   x05_t0     00000002
             302   N   0000a280   f00ffeb7   0000a284   ---        --------
             303   N   0000a284   00000ebd   0000a288   x29_t4     f00ff000
             304   N   0000a288   00004e3d   0000a28a   x29_t4     f00ff00f
             305   N   0000a28a   1dd19363   0000a28c   x28_t3     0000000f
             306   N   0000a28c   00004201   0000a290   ---        --------
             307   N   0000a290   0ff010b7   0000a292   x04_tp     00000000
             308   N   0000a292   000010c1   0000a296   x01_ra     0ff01000
             309   N   0000a296   00000001   0000a298   x01_ra     0ff00ff0
             310   N   0000a298   f0f0f137   0000a29a   ---        --------
             311   N   0000a29a   0000616d   0000a29e   x02_sp     f0f0f000
             312   N   0000a29e   00000001   0000a2a0   x02_sp     f0f0f0f0
             313   N   0000a2a0   0020c1b3   0000a2a2   ---        --------
             314   N   0000a2a2   00000205   0000a2a6   x03_gp     ff00ff00
             315   N   0000a2a6   00004289   0000a2a8   x04_tp     00000001
             316   N   0000a2a8   fe5214e3   0000a2aa   x05_t0     00000002
             317   N   0000a2aa   42890eb7   0000a292   ---        --------
             321   N   0000a292   000010c1   0000a296   x01_ra     0ff01000
             322   N   0000a296   00000001   0000a298   x01_ra     0ff00ff0
             323   N   0000a298   f0f0f137   0000a29a   ---        --------
             324   N   0000a29a   0000616d   0000a29e   x02_sp     f0f0f000
             325   N   0000a29e   00000001   0000a2a0   x02_sp     f0f0f0f0
             326   N   0000a2a0   0020c1b3   0000a2a2   ---        --------
             327   N   0000a2a2   00000205   0000a2a6   x03_gp     ff00ff00
             328   N   0000a2a6   00004289   0000a2a8   x04_tp     00000002
             329   N   0000a2a8   fe5214e3   0000a2aa   x05_t0     00000002
             330   N   0000a2aa   42890eb7   0000a2ae   ---        --------
             332   N   0000a2ae   fe528e93   0000a2b2   x29_t4     ff010000
             334   N   0000a2b2   00004e41   0000a2b6   x29_t4     ff00ff00
             335   N   0000a2b6   19d19d63   0000a2b8   x28_t3     00000010
             336   N   0000a2b8   00004201   0000a2bc   ---        --------
             337   N   0000a2bc   00ff00b7   0000a2be   x04_tp     00000000
             338   N   0000a2be   42018093   0000a2c2   x01_ra     00ff0000
             340   N   0000a2c2   00000001   0000a2c6   x01_ra     00ff00ff
             341   N   0000a2c6   00000001   0000a2c8   ---        --------
             342   N   0000a2c8   0f0f1137   0000a2ca   ---        --------
             343   N   0000a2ca   00010113   0000a2ce   x02_sp     0f0f1000
             345   N   0000a2ce   0f0fc1b3   0000a2d2   x02_sp     0f0f0f0f
             347   N   0000a2d2   00000205   0000a2d6   x03_gp     0ff00ff0
             348   N   0000a2d6   00004289   0000a2d8   x04_tp     00000001
             349   N   0000a2d8   fe5212e3   0000a2da   x05_t0     00000002
             350   N   0000a2da   42891eb7   0000a2be   ---        --------
             354   N   0000a2be   42898093   0000a2c2   x01_ra     00ff0000
             356   N   0000a2c2   00000001   0000a2c6   x01_ra     00ff00ff
             357   N   0000a2c6   00000001   0000a2c8   ---        --------
             358   N   0000a2c8   0f0f1137   0000a2ca   ---        --------
             359   N   0000a2ca   00010113   0000a2ce   x02_sp     0f0f1000
             361   N   0000a2ce   0f0fc1b3   0000a2d2   x02_sp     0f0f0f0f
             363   N   0000a2d2   00000205   0000a2d6   x03_gp     0ff00ff0
             364   N   0000a2d6   00004289   0000a2d8   x04_tp     00000002
             365   N   0000a2d8   fe5212e3   0000a2da   x05_t0     00000002
             366   N   0000a2da   42891eb7   0000a2de   ---        --------
             368   N   0000a2de   00001ec1   0000a2e2   x29_t4     0ff01000
